reference_id	reference_sequence_sha256	stored_taxid	header_kingdom	header_lineage	source_taxid_record_count	post_policy_taxid_record_count	source_exact_sequence_record_count	post_policy_exact_sequence_record_count	source_tier	source_status	evidence_class	evidence_source	supporting_reference_id	supporting_reference_role	release_action	decision_basis	policy_id	notes
BOLD_COI-5P_BMBFM083-18	d3762135240d044bf2d3fbf623859178bec27d45d0ff0f960f80e8079f73504f	201906	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Dryophthorus;s__	7	7	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BMBFM158-19	a1af8c920e107498dfc2052991b926da8d690aad367bbfe1e84a13ce8e2e22d3	135865	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Atheta;s__	37	37	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CHOLE080-10	05b70915404166085c7741e06d65d29d81d5c8f25fb0a71e8cfb967f68a016e4	651982	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Leiodidae;g__Catops;s__Catops_coracinus	7	6	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_DTIII5536-22	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_CNCHA1255-11	752d135ce86e407fd62f66d91321b83b5f1ff991e70fe8540cceb74e0b586bd4	1511244	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;g__Picromerus;s__Picromerus_bidens	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CNEIB017-12	331f48f47fc6021f4baff15cf818b662180fa7ea7c757ddf9de0ca3e5e879c55	232805	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Colletidae;g__Hylaeus;s__Hylaeus_modestus	6	5	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_ASQIC504-09	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_CNJAC356-12	d880cfee01ce608cc481047adbe6ea9f162fafdaec0eb98ffd112a52802659b3	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	52819	52819	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CNKJH378-14	3971d088b478296616b55dfe75bfe4e0ce00b86639409a86f3aae12bb00a07ad	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	52819	52819	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CRCEC47168-22	a75eb61ed9d37f4630cb14662a7acd9b618ada8175b19c137057af0cb5698465	-9850	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Trophithauma;s__Trophithauma_portentum	3	2	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_DTIII5536-22	ae1e58fb3735fe71ab816d68474cfd7780ee9d462a017ed454e4991ec8bb5e98	1763974	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Diapriidae;g__Zygota;s__	19	18	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_CHOLE080-10	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_DTNHM4263-22	ddcc0ca4a37051626221ae383e294f6feec15acaccd30b92ec3cff911db1826a	986713	Metazoa	k__Metazoa;p__Arthropoda;c__Malacostraca;o__Isopoda;f__Armadillidiidae;g__Armadillidium;s__Armadillidium_depressum	2	1	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_FINCO004-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_FHDER125-16	4661defbaede620b7b2cf1312aa5995447202009b661071ec9bd001a858ff38d	3039717	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Dermaptera;f__Forficulidae;g__Guanchia;s__Guanchia_hincksi	2	1	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_KUGLA3039-22	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_FINCO004-20	4334a72d36c59f3d608d76fb572883b513975fcf4d3fe9ee66950d9952479e84	370032	Metazoa	k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotomiella;s__Isotomiella_minor	19	18	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_DTNHM4263-22	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_GBA29544-17	58c7d5dfafcad8d19d59dffaf0b53ff0d56f5630098719ed61e43569273ff1a6	1717526	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mydidae;g__Apiophora;s__Apiophora_quadricinctata	1	0	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_GBAH20470-19	bc8e6298fb7b4f3f7536266bb5f98e7eeb4cd084840cfeeb32475d99aab2176e	297369	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Utetes;s__	5	4	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_DTIII5536-22	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_GBCL13897-12	e412c8369f2239d79abb0fb29ef61db9b3004040b8ffdf6cbf164cf34f6a58ea	414942	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Silphidae;g__Calosilpha;s__Calosilpha_brunnicollis	2	1	1	0	priority	confirmed	confirmed_reference_sequence_contamination	confirmed_reference_manifest	LR799917.1	confirmed_bacterial_control	quarantine	confirmed_contamination_exclusion	chain_a_downstream_coi_correctness_first_v1	Independent priority adjudication confirms reference-sequence contamination without asserting specimen misidentification
BOLD_COI-5P_GBCL13905-12	5f4e81daade8b5edcfd1dbd50c6f09e251b66e084dff3c375c789677c95897dd	110188	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Silphidae;g__Ptomascopus;s__Ptomascopus_morio	2	1	1	0	priority	confirmed	confirmed_reference_sequence_contamination	confirmed_reference_manifest	LR799917.1	confirmed_bacterial_control	quarantine	confirmed_contamination_exclusion	chain_a_downstream_coi_correctness_first_v1	Independent priority adjudication confirms reference-sequence contamination without asserting specimen misidentification
BOLD_COI-5P_GBMHH30183-19	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	2218150	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Psyllidae;g__Telmapsylla;s__Telmapsylla_minuta	2	1	1	0	priority	confirmed	confirmed_reference_sequence_contamination	confirmed_reference_manifest	MG988837.1	confirmed_bacterial_control	quarantine	confirmed_contamination_exclusion	chain_a_downstream_coi_correctness_first_v1	Independent priority adjudication confirms reference-sequence contamination without asserting specimen misidentification
BOLD_COI-5P_GBMIN70259-17	df616be472b2d8d6e053bd1fd42a82cc60f3c9986325da64afe5800b254ee34b	1920869	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Triozidae;g__Bactericera;s__Bactericera_albiventris	2	1	1	0	priority	confirmed	confirmed_reference_sequence_contamination	confirmed_reference_manifest	MG988837.1	confirmed_bacterial_control	quarantine	confirmed_contamination_exclusion	chain_a_downstream_coi_correctness_first_v1	Independent priority adjudication confirms reference-sequence contamination without asserting specimen misidentification
BOLD_COI-5P_GMARL1332-14	46402d11288950271b062a1691f4697e58b57804bc1c88134fed9a1091d1f73f	29035	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__;s__	2108	2108	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_GMODL3842-22	11a02d98252a48e310767bed4eff8da6ef8f2e4548d769b8fb7e319be14710cc	30092	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Psyllidae;g__;s__	87	86	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_GBMIN70259-17	confirmed_anchor	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_ISUP118-14	9bd2cfd4e3066395d63d11f7130e39e8dccb5db4de2157493bfff01395d16036	-2704	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Galerita;s__Galerita_bicolor	2	1	1	0	priority	confirmed	confirmed_reference_sequence_contamination	confirmed_reference_manifest	LR799917.1	confirmed_bacterial_control	quarantine	confirmed_contamination_exclusion	chain_a_downstream_coi_correctness_first_v1	Independent priority adjudication confirms reference-sequence contamination without asserting specimen misidentification
BOLD_COI-5P_JMAAC023-10	21d8995ded49810a5171890cf4f69da656886db62a353151b279acc643e6aef0	27482	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__;s__	125	125	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_KUGLA1303-22	85ee34a12d65987bc7f062acd39269accd599130ccf5c85a2044c0c0da5457f2	81835	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__;s__	184	182	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_FHDER125-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_KUGLA2446-22	724906830a323d7581cb6213b35c6f949b2cbcdeb2f0500012d3b68a8db36a3d	29026	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__	867	866	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14962-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_KUGLA3039-22	cd8e9e0432fb128942e07e1f13978ab1e89d78f7310464e9581598da2413fd71	81835	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__;s__	184	182	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_MHMYM4251-14	c0a76bff087f9b3efc60fad6ba4eba13f18de2b594134cb6222c57f96fba8a5d	299348	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;g__;s__	237	236	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_ASQIC504-09	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_MYPOM476-20	9c0059ac3188e8c5ba91f44b328a0565a51bae0c5613c99892b3e9f1bccba6e9	88467	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Halictidae;g__Lasioglossum;s__	411	409	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_MYPOM562-20	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	88467	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Halictidae;g__Lasioglossum;s__	411	409	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_NZHYM2541-15	21f15ecab3f3d5a5b860254832d8758033c293f54a1be1fcbbbc3d98191d0c01	55939	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Aleiodes;s__	772	771	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_NZIND358-22	2e30eaad9563d7dd398329579031065debe285a7131361716675933e186337c8	-5712	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptiliidae;g__Notoptenidium;s__	1	1	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_SPIZA784-21	17b8014e977b98323161db0ebc209c4dd99c9285d7ca3b3a69d564a8adb67aa8	575964	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Scytodidae;g__Scytodes;s__	111	111	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_SSBAD5954-13	4cf586999fc9c1c6e73832bb1a17ce2c0d62dd2839eeed6984362c13c6fc42fb	700654	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Hahniidae;g__Hahnia;s__	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
KP422389_1	8782187956fbb09af388f9b9cea7d86ec6f7168432a8745a5db5bd3a851a8761	29026	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__	867	866	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
PP136051_1	1337d8cb5c6e61de07931eca3c8631ef96710fd90b35bf5cbe7321f52d229605	2219560	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Pseudoscorpiones;f__Neobisiidae;g__Neobisium;s__Neobisium_carcinoides	27	27	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
